0	即
1	晨
2	晝
3	夜
4	晴
5	雲
6	多
7	雨
8	霧
9	蒸
10	電
11	露
12	像
13	徵
14	坡
15	轟
16	將
17	物
18	資
19	從
20	輸
21	送
22	到
23	和
24	結
25	合
26	了
27	域
28	盟
29	停
30	戰
31	在
32	流
33	浪
34	中
35	移
36	動
37	逮
38	捕
39	正
40	的
41	配
42	下
43	六
44	一
45	頁
46	終
47	切
48	換
49	顯
50	示
51	內
52	容
53	派
54	使者
55	者
56	嗎
57	開
58	密
59	會
60	不
61	是
62	君
63	主
64	所
65	地
66	只
67	得
68	部
69	分
70	情
71	報
72	黃
73	金
74	票
75	券
76	統
77	治
78	狀
79	態
80	長
81	期
82	作
83	謀
84	劃
85	本
86	月
87	命
88	令
89	融
90	貂
91	蟬
92	有
93	話
94	要
95	說
96	聽
97	能
98	相
99	信
100	您
101	我
102	請
103	向
104	間
105	?
106	好
107	消息
108	把
109	消
110	息
111	?
112	華
113	陀
114	帶
115	沒
116	找
117	但
118	另
119	個
120	醫
121	師
122	?
123	?
124	代
125	替
126	術
127	國
128	別
129	無
130	?
131	告
132	況
133	武
134	收
135	書
136	發
137	現
138	士
139	?
140	氣
141	訓
142	練
143	度
144	耕
145	率
146	水
147	商
148	業
149	值
150	升
151	變
152	化
153	執
154	行
155	造
156	完
157	兩
158	隻
159	船
160	做
161	甚
162	麼
163	總
164	數
165	軍
166	費
167	糧
168	乘
169	餘
170	?
171	種
172	設
173	隊
174	成
175	那
176	任
177	誰
178	元
179	帥
180	每
181	人
182	少
183	弓
184	?
185	馬
186	重
187	艦
188	輕
189	?
190	時
191	利
192	品
193	此
194	後
195	提
196	交
197	放
198	棄
199	場
200	援
201	救
202	去
203	方
204	?
205	參
206	方
207	推
208	進
209	遺
210	憾
211	里
212	城
213	市
214	取
215	可
216	他
217	更
218	汽
219	大
220	委
221	協
222	議
223	們
224	再
225	降
226	忠
227	誠
228	民
229	想
230	你
231	這
232	以
233	聖
234	選
235	擇
236	條
237	路
238	領
239	共
240	決
241	定
242	給
243	助
244	件
245	釋
246	鄴
247	首
248	怎
249	樣
250	處
251	最
252	接
253	受
254	拒
255	絕
256	建
257	都
258	?
259	圖
260	如
261	何
262	理
263	對
264	待
265	投
266	防
267	控
268	新
269	止
270	攻
271	打
272	按
273	計
274	勝
275	真
276	見
277	手
278	被
279	識
280	破
281	埋
282	磁
283	碟
284	?
285	?
286	機
287	片
288	錯
289	看
290	據
291	讀
292	鍵
293	左
294	鈕
295	右
296	居
297	覽
298	砂
299	等
300	生
301	產
302	適
303	應
304	?
305	司
306	徽
307	許
308	子
309	於
310	吉
311	慈
312	暴
313	蠍
314	當
315	虛
316	李
317	意
318	平
319	獻
320	帝
321	文
322	官
323	野
324	太
325	守
326	步
